CHECK SHEET NO,생산일자,공장,공정코드,신규분류요약,함수율,품목코드,품명,양품수량,불량수량,샘플수량,생산수량,샘플창고수량,샘플제외 양품수량,멸균번호,기계코드,상태,SIZE
C20260113-385,2026-01-14,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3212-00.00BLK314.2,Alcon D_Jewel Black_W3,"1,804",151,,"1,955",0,"1,804",,분리18호기,확인,14.2
C20250920-004,2026-01-10,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3213-01.25BLU314.2,Alcon D_Allure Blue_W3C,"3,283",204,,"3,487",0,"3,283",,분리17호기,확인,14.2
C20251017-210,2026-01-09,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3213-04.75BLU314.2,Alcon D_Allure Blue_W3C,"2,060",111,,"2,171",0,"2,060",,분리24호기,확인,14.2
C20251118-321,2026-01-18,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3214-02.75GRA314.2,Alcon D_Allure Grey_W3C,"1,316",362,,"1,678",0,"1,316",,분리28호기,확인,14.2
C20260127-219,2026-01-28,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3214-03.50GRA314.2,Alcon D_Allure Grey_W3C,"3,232",98,,"3,330",0,"3,232",,분리33호기,확인,14.2
C20260111-390,2026-01-12,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3214-08.00GRA314.2,Alcon D_Allure Grey_W3C,"1,483",208,,"1,691",0,"1,483",,분리37호기,확인,14.2
C20250921-064,2026-01-18,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q3215-01.50HAZ314.2,Alcon D_Allure Hazel_W3C,"2,771",576,,"3,347",0,"2,771",,분리37호기,확인,14.2
A20250331-215,2026-01-17,S관(3공장),[20] 분리,Si_1-Day_Toric,45,Q5405-04.25-1.25160,O2O2 D_UV_Toric_SMD,478,57,0,535,0,478,,B형 분리수화접착1호기,확인,14.3
A20250629-084,2026-01-29,S관(3공장),[20] 분리,Si_1-Day_Toric,45,Q5405-05.00-1.25180,O2O2 D_UV_Toric_SMD,341,204,0,545,0,341,,B형 분리수화접착2호기,확인,14.3
C20260123-412,2026-01-23,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-03.25CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,633",10,10,"3,653",0,"3,633",55GD-HCU,조립24호기,확인,14.2
C20260204-123,2026-02-03,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-03.25CRW3,PIA D_Cherish Brown_55% UV 14.2,"2,729",1,10,"2,740",0,"2,729",55GD-HCU,조립58호기,확인,14.2
C20260122-210,2026-01-22,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-03.25CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,644",0,10,"3,654",0,"3,644",55GD-HCU,조립24호기,확인,14.2
C20260122-212,2026-01-22,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-03.25CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,624",0,10,"3,634",0,"3,624",55GD-HCU,조립24호기,확인,14.2
C20260126-230,2026-01-26,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-06.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"4,024",14,10,"4,048",0,"4,024",55GD-HCU,조립53호기,확인,14.2
C20260128-506,2026-01-28,C관(2공장),[10] 사출조립,1-Day_Color_Sph,55,R1061-06.00CRW3,PIA D_Cherish Brown_55% UV 14.2,"3,525",25,10,"3,560",0,"3,525",55GD-HCU,조립58호기,확인,14.2
C20260124-119,2026-01-25,C관(2공장),[20] 분리,1-Day_Color_Sph,55,Q1060-02.75GBY2,PIA D_Gray Bunny_55% UV 14.2,"3,416",448,,"3,864",0,"3,416",,분리26호기,확인,14.2
